dataset,fraction_rows,wall_time_sec,cir_agreement,proj_residual,sym_kl,jaccard_at_8
ecg_heartbeat,0.8,0.0965583324432373,4.145270866185139e-05,0.19872565906761314,0.020456901267992204,0.999999999999875
ecg_heartbeat,1.0,0.0942995548248291,0.00010395544375837564,0.10651116381013119,0.04019222863522701,0.999999999999875
fashion_mnist_features,0.2,6.447132587432861,0.0004598496403382869,0.830740918856647,0.3729351009146383,0.7777777777776913
fashion_mnist_features,0.3,6.938094139099121,0.00031503277849273455,0.7856428378046284,0.3228255700543947,0.7777777777776913
fashion_mnist_features,0.4,9.418304681777954,0.00028747725156815223,0.7405330296942498,0.2902663783483901,0.999999999999875
fashion_mnist_features,0.6,11.347618818283081,5.9376418390713854e-05,0.6252574187475302,0.2105479639023185,0.999999999999875
fashion_mnist_features,0.8,12.515652418136597,5.1061969935603605e-06,0.43881612667929526,0.10828639340234521,0.7777777777776913
fashion_mnist_features,1.0,13.558566570281982,7.314395427261127e-07,0.10079631208451506,0.06052641142977882,0.999999999999875
stock_technical,0.2,0.047541141510009766,0.09380350264953322,0.3726742239042701,0.054508596157117145,0.9999999999997999
stock_technical,0.3,0.0720517635345459,0.11479737192463647,0.35897939261969997,0.011667735919850118,0.9999999999997999
stock_technical,0.4,0.08171415328979492,0.041911810601426513,0.33866275899628057,0.009508637766564075,0.9999999999997999
stock_technical,0.6,0.08881258964538574,0.007315776581049214,0.30079290959256616,0.00356171924962187,0.9999999999997999
stock_technical,0.8,0.0862429141998291,0.010176627347608984,0.2588389247152404,0.012626807691080568,0.9999999999997999
stock_technical,1.0,0.09874248504638672,0.0007320213597285124,0.10139613815357341,0.01984418518541348,0.9999999999997999
sensor_fusion,0.2,0.06342935562133789,1.4027579556450971e-05,0.26114231529974474,0.014083442642710437,0.999999999999875
sensor_fusion,0.3,0.14012503623962402,1.2638215450036289e-05,0.21748012381828583,0.025463553747940168,0.999999999999875
