dataset,method,fraction_kept,insertion,deletion
har6,Surrogate-LR,0.875,0.9766990291262136,0.37524271844660195
har6,Surrogate-LR,1.0,0.9927184466019418,0.1669902912621359
digits8x8,ExCIR,0.0,0.09722222222222222,0.9611111111111111
digits8x8,ExCIR,0.125,0.17222222222222222,0.9166666666666666
digits8x8,ExCIR,0.25,0.275,0.8972222222222223
digits8x8,ExCIR,0.375,0.38055555555555554,0.8305555555555556
digits8x8,ExCIR,0.5,0.6833333333333333,0.5222222222222223
digits8x8,ExCIR,0.625,0.7138888888888889,0.49166666666666664
digits8x8,ExCIR,0.75,0.8638888888888889,0.3194444444444444
digits8x8,ExCIR,0.875,0.9416666666666667,0.16666666666666666
digits8x8,ExCIR,1.0,0.9611111111111111,0.09722222222222222
digits8x8,TreeGain,0.0,0.17222222222222222,0.9583333333333334
digits8x8,TreeGain,0.125,0.4027777777777778,0.8166666666666667
digits8x8,TreeGain,0.25,0.7027777777777777,0.6305555555555555
digits8x8,TreeGain,0.375,0.8305555555555556,0.4361111111111111
digits8x8,TreeGain,0.5,0.9138888888888889,0.29444444444444445
digits8x8,TreeGain,0.625,0.9583333333333334,0.14444444444444443
digits8x8,TreeGain,0.75,0.9611111111111111,0.09722222222222222
digits8x8,TreeGain,0.875,0.9611111111111111,0.09722222222222222
digits8x8,TreeGain,1.0,0.9611111111111111,0.09722222222222222
digits8x8,PDP-var,0.0,0.19444444444444445,0.95
digits8x8,PDP-var,0.125,0.4888888888888889,0.6555555555555556
digits8x8,PDP-var,0.25,0.7194444444444444,0.6111111111111112
digits8x8,PDP-var,0.375,0.8111111111111111,0.45555555555555555
digits8x8,PDP-var,0.5,0.9111111111111111,0.26666666666666666
digits8x8,PDP-var,0.625,0.9555555555555556,0.09722222222222222
digits8x8,PDP-var,0.75,0.9611111111111111,0.09722222222222222
digits8x8,PDP-var,0.875,0.9611111111111111,0.09722222222222222
digits8x8,PDP-var,1.0,0.9611111111111111,0.09722222222222222
digits8x8,MI(pred),0.0,0.09722222222222222,0.9611111111111111
digits8x8,MI(pred),0.125,0.3638888888888889,0.8361111111111111
digits8x8,MI(pred),0.25,0.4,0.8055555555555556
digits8x8,MI(pred),0.375,0.6222222222222222,0.6888888888888889
digits8x8,MI(pred),0.5,0.6777777777777778,0.6555555555555556
digits8x8,MI(pred),0.625,0.6944444444444444,0.475
digits8x8,MI(pred),0.75,0.7583333333333333,0.3611111111111111
digits8x8,MI(pred),0.875,0.9333333333333333,0.18333333333333332
digits8x8,MI(pred),1.0,0.9611111111111111,0.09722222222222222
digits8x8,MI(label),0.0,0.09722222222222222,0.9583333333333334
digits8x8,MI(label),0.125,0.37222222222222223,0.7583333333333333
digits8x8,MI(label),0.25,0.6472222222222223,0.6083333333333333
digits8x8,MI(label),0.375,0.8361111111111111,0.44166666666666665
digits8x8,MI(label),0.5,0.9361111111111111,0.2222222222222222
digits8x8,MI(label),0.625,0.9583333333333334,0.13333333333333333
digits8x8,MI(label),0.75,0.9583333333333334,0.11944444444444445
digits8x8,MI(label),0.875,0.9611111111111111,0.09722222222222222
digits8x8,MI(label),1.0,0.9611111111111111,0.09722222222222222
digits8x8,Surrogate-LR,0.0,0.09722222222222222,0.9583333333333334
digits8x8,Surrogate-LR,0.125,0.3416666666666667,0.7527777777777778
digits8x8,Surrogate-LR,0.25,0.39166666666666666,0.6861111111111111
digits8x8,Surrogate-LR,0.375,0.5166666666666667,0.6666666666666666
digits8x8,Surrogate-LR,0.5,0.6444444444444445,0.6111111111111112
digits8x8,Surrogate-LR,0.625,0.7722222222222223,0.39444444444444443
digits8x8,Surrogate-LR,0.75,0.9222222222222223,0.3111111111111111
digits8x8,Surrogate-LR,0.875,0.9416666666666667,0.09722222222222222
digits8x8,Surrogate-LR,1.0,0.9611111111111111,0.09722222222222222
california,ExCIR,0.0,-0.004915697017900955,0.6462743852930539
california,ExCIR,0.125,-0.004915697017900955,0.6462743852930539
california,ExCIR,0.25,0.003230684856339039,0.48543010716729273
california,ExCIR,0.375,0.028926249201098875,0.4186338957838055
california,ExCIR,0.5,-0.021464204027385136,0.41501552534215314
california,ExCIR,0.625,-0.02550776946358546,0.40582032179960004
california,ExCIR,0.75,0.16703163134088284,0.38298925045949195
california,ExCIR,0.875,-0.7020465756062166,-0.6901335932566697
california,ExCIR,1.0,0.8369070693815255,-0.6223093362619307
california,TreeGain,0.0,-0.004915697017900955,0.6462743852930539
california,TreeGain,0.125,-0.004915697017900955,0.6462743852930539
california,TreeGain,0.25,0.2208770605755217,0.5254039787614714
california,TreeGain,0.375,-0.2165874834640773,-1.2805025315903689
california,TreeGain,0.5,0.7670734631595195,-0.6202935834353978
california,TreeGain,0.625,0.804870028368651,-0.6014549751135694
california,TreeGain,0.75,0.8234907620408329,-0.6569726697502014
california,TreeGain,0.875,0.8329690840972689,-0.5952076920311842
california,TreeGain,1.0,0.8369070693815255,-0.6223093362619307
california,PDP-var,0.0,-1.6456913793056898,-0.22183718222645554
california,PDP-var,0.125,-1.6456913793056898,-0.22183718222645554
california,PDP-var,0.25,0.38298925045949195,0.16703163134088284
california,PDP-var,0.375,0.7051772107755592,-0.3074195369845867
california,PDP-var,0.5,0.7670734631595195,-0.6202935834353978
california,PDP-var,0.625,0.787644925061158,-0.6494573920695386
california,PDP-var,0.75,0.8234907620408329,-0.6569726697502014
california,PDP-var,0.875,0.8329690840972689,-0.5952076920311842
california,PDP-var,1.0,0.8369070693815255,-0.6223093362619307
california,MI(pred),0.0,-0.004915697017900955,0.6462743852930539
california,MI(pred),0.125,-0.004915697017900955,0.6462743852930539
california,MI(pred),0.25,-0.25897454298597,-1.0802795906915224
california,MI(pred),0.375,0.7051772107755592,-0.3074195369845867
california,MI(pred),0.5,0.7169277030269616,-0.3570056351316906
california,MI(pred),0.625,0.787644925061158,-0.6494573920695386
california,MI(pred),0.75,0.8234907620408329,-0.6569726697502014
california,MI(pred),0.875,0.8329690840972689,-0.5952076920311842
california,MI(pred),1.0,0.8369070693815255,-0.6223093362619307
california,MI(label),0.0,-0.004915697017900955,0.6462743852930539
california,MI(label),0.125,-0.004915697017900955,0.6462743852930539
california,MI(label),0.25,-0.25897454298597,-1.0802795906915224
california,MI(label),0.375,0.7051772107755592,-0.3074195369845867
california,MI(label),0.5,0.7169277030269616,-0.3570056351316906
california,MI(label),0.625,0.787644925061158,-0.6494573920695386
california,MI(label),0.75,0.8234907620408329,-0.6569726697502014
california,MI(label),0.875,0.8271600168471733,-0.6783954682195852
california,MI(label),1.0,0.8369070693815255,-0.6223093362619307
california,Surrogate-LR,0.0,-1.6456913793056898,-0.22183718222645554
california,Surrogate-LR,0.125,-1.6456913793056898,-0.22183718222645554
california,Surrogate-LR,0.25,0.38298925045949195,0.16703163134088284
california,Surrogate-LR,0.375,0.7051772107755592,-0.3074195369845867
california,Surrogate-LR,0.5,0.6985532759524582,-0.25378650154743454
california,Surrogate-LR,0.625,0.7186081392376019,-0.32007237166019875
california,Surrogate-LR,0.75,0.740142315331558,-0.3321569180919679
california,Surrogate-LR,0.875,0.8329690840972689,-0.5952076920311842
california,Surrogate-LR,1.0,0.8369070693815255,-0.6223093362619307
diabetes,ExCIR,0.0,-0.427380775257733,0.024840443858604067
diabetes,ExCIR,0.125,-0.427380775257733,0.024840443858604067
diabetes,ExCIR,0.25,-0.004298839577134395,-0.2890875240039392
diabetes,ExCIR,0.375,-0.04406395973544108,-0.285331994762714
diabetes,ExCIR,0.5,-0.0716832429684211,-0.3459059918223628
diabetes,ExCIR,0.625,-0.0014933476361094211,-0.3671077865978911
diabetes,ExCIR,0.75,0.10753885841344524,-0.45734010754394583
diabetes,ExCIR,0.875,0.10015790266947011,-0.8634964355284274
diabetes,ExCIR,1.0,0.13671404461276837,-0.9905188605329662
diabetes,TreeGain,0.0,-0.04378506342084765,-0.0511121908645209
diabetes,TreeGain,0.125,-0.04378506342084765,-0.0511121908645209
diabetes,TreeGain,0.25,-0.004298839577134395,-0.2890875240039392
diabetes,TreeGain,0.375,-0.02035448976998855,-0.2952015324631727
diabetes,TreeGain,0.5,-0.019524041233645484,-0.25055633129147914
diabetes,TreeGain,0.625,0.05033151198116248,-0.3049673525356351
diabetes,TreeGain,0.75,0.0638166115305121,-0.39526557323561184
diabetes,TreeGain,0.875,0.12248364220419716,-0.5289233307179633
diabetes,TreeGain,1.0,0.13671404461276837,-0.9905188605329662
diabetes,PDP-var,0.0,-0.427380775257733,0.024840443858604067
diabetes,PDP-var,0.125,-0.427380775257733,0.024840443858604067
diabetes,PDP-var,0.25,-0.004298839577134395,-0.2890875240039392
diabetes,PDP-var,0.375,-0.02035448976998855,-0.2952015324631727
diabetes,PDP-var,0.5,0.07436495485514194,-0.5098495944364416
diabetes,PDP-var,0.625,0.103930466584503,-0.5616690882582704
diabetes,PDP-var,0.75,0.1104959925734319,-0.5257931511328982
diabetes,PDP-var,0.875,0.08878773658422989,-0.4738746666882163
diabetes,PDP-var,1.0,0.13671404461276837,-0.9905188605329662
diabetes,MI(pred),0.0,-0.427380775257733,0.024840443858604067
diabetes,MI(pred),0.125,-0.427380775257733,0.024840443858604067
diabetes,MI(pred),0.25,-0.004298839577134395,-0.2890875240039392
diabetes,MI(pred),0.375,0.0367539260154659,-0.21864704606148333
